timestamp,max_probability,corresponding_distance_cm,real_distance_cm
382,1.0,0,830.0000190734863
510,0.5017993555208317,50,831.9999694824219
980,0.24149243009795238,100,834.0000152587891
1492,0.18604180640953305,100,835.9999656677246
2153,0.26389673843570755,100,839.9999618530273
2921,0.09323434517051599,100,843.9999580383301
3732,0.0818291871145727,90,850.0
4564,0.07178156782065734,80,853.9999961853027
5332,0.043591456728407134,80,857.9999923706055
6185,0.0359211349497449,170,861.9999885559082
6996,0.035843347363871056,80,865.9999847412109
7785,0.029290547805047373,70,872.0000267028809
8553,0.024340912183294566,70,876.0000228881836
9342,0.047329423381075486,60,880.0000190734863
10110,0.02497693942750672,120,884.0000152587891
10921,0.01854513854855789,40,888.0000114440918
11689,0.012564130715721749,90,892.0000076293945
12457,0.03174809250469465,80,896.0000038146973
13246,0.025372998710313607,170,902.0000457763672
14036,0.03279839508027153,80,906.0000419616699
14804,0.06332493456796578,90,910.0000381469727
15572,0.033376538577807126,90,914.0000343322754
16340,0.02065640427642685,80,918.0000305175781
17129,0.028293370537938935,80,922.0000267028809
17897,0.02624370210856587,90,926.0000228881836
18729,0.024434479677030826,90,930.0000190734863
19497,0.06353782523963068,110,935.9999656677246
20329,0.07547628697373868,120,939.9999618530273
21161,0.08530396023135027,130,943.9999580383301
21929,0.08255225723945125,140,947.9999542236328
22804,0.05369233381344376,140,953.9999961853027
23593,0.05067304139268715,140,957.9999923706055
24446,0.06214170805034894,130,961.9999885559082
25236,0.023834880866292138,90,965.9999847412109
26004,0.039887781299535525,100,969.9999809265137
26772,0.015431345215207377,100,973.9999771118164
27582,0.02165902174321381,120,980.0000190734863
28393,0.015840553184423893,130,984.0000152587891
29140,0.024311680584574554,130,988.0000114440918
29161,0.02602705911089201,160,988.0000114440918
